millis,stamp,datetime,accX,accY,accZ,gyroX,gyroY,gyroZ,compX,compY,compZ
1657203, 1184326410, "2007/7/13 11:33:30",  90,  -28,  978,  -19,  -10,  -2,  -27,  6,  -37
1657403, 1184326410, "2007/7/13 11:33:30",  98,  -183,  969,  7,  0,  7,  -28,  7,  -36
1657603, 1184326410, "2007/7/13 11:33:30",  69,  -107,  903,  11,  13,  13,  -28,  7,  -37
1657803, 1184326411, "2007/7/13 11:33:31",  26,  60,  938,  20,  10,  17,  -26,  7,  -37
1658003, 1184326411, "2007/7/13 11:33:31",  -35,  280,  1063,  10,  23,  15,  -26,  6,  -37
1658203, 1184326411, "2007/7/13 11:33:31",  -123,  184,  1101,  -4,  -4,  7,  -24,  6,  -37
1658403, 1184326411, "2007/7/13 11:33:31",  -192,  14,  1037,  -16,  2,  -7,  -25,  6,  -38
1658603, 1184326411, "2007/7/13 11:33:31",  -102,  -67,  1007,  -6,  -23,  -12,  -28,  8,  -37
1658803, 1184326412, "2007/7/13 11:33:32",  -10,  -53,  1004,  4,  -14,  -12,  -28,  8,  -37
1659003, 1184326412, "2007/7/13 11:33:32",  117,  25,  1003,  10,  -11,  -6,  -28,  7,  -36
1659203, 1184326412, "2007/7/13 11:33:32",  88,  110,  985,  1,  2,  4,  -31,  5,  -34
1659403, 1184326412, "2007/7/13 11:33:32",  73,  143,  961,  -1,  16,  11,  -29,  5,  -35
1659603, 1184326412, "2007/7/13 11:33:32",  -59,  81,  973,  -13,  13,  12,  -29,  8,  -37
1659803, 1184326413, "2007/7/13 11:33:33",  -143,  -13,  1002,  -9,  9,  4,  -26,  10,  -38
1660003, 1184326413, "2007/7/13 11:33:33",  -192,  -71,  980,  -2,  -9,  -4,  -26,  11,  -39
1660203, 1184326413, "2007/7/13 11:33:33",  -69,  -48,  940,  3,  -10,  -10,  -28,  10,  -37
1660403, 1184326413, "2007/7/13 11:33:33",  51,  18,  1002,  16,  -10,  -7,  -29,  8,  -36
1660603, 1184326413, "2007/7/13 11:33:33",  147,  30,  1068,  13,  1,  5,  -29,  7,  -34
1660803, 1184326414, "2007/7/13 11:33:34",  98,  104,  999,  6,  17,  17,  -30,  7,  -34
1661003, 1184326414, "2007/7/13 11:33:34",  -23,  118,  938,  7,  22,  22,  -27,  7,  -37
1661203, 1184326414, "2007/7/13 11:33:34",  -183,  133,  1004,  -14,  4,  16,  -27,  9,  -39
1661403, 1184326414, "2007/7/13 11:33:34",  -272,  157,  1030,  -13,  -10,  -6,  -27,  11,  -38
