millis,stamp,datetime,accX,accY,accZ,gyroX,gyroY,gyroZ,compX,compY,compZ
1292406, 1184326045, "2007/7/13 11:27:25",  -37,  -30,  967,  -3,  -1,  -11,  -30,  23,  -35
1292606, 1184326045, "2007/7/13 11:27:25",  -41,  -149,  1145,  -1,  -4,  -9,  -30,  25,  -36
1292806, 1184326045, "2007/7/13 11:27:25",  29,  -40,  1114,  14,  -1,  -4,  -32,  21,  -36
1293006, 1184326046, "2007/7/13 11:27:26",  -19,  108,  926,  13,  0,  0,  -30,  22,  -36
1293206, 1184326046, "2007/7/13 11:27:26",  -13,  155,  825,  5,  -2,  -2,  -32,  20,  -37
1293406, 1184326046, "2007/7/13 11:27:26",  -21,  161,  878,  -8,  15,  -5,  -29,  18,  -36
1293606, 1184326046, "2007/7/13 11:27:26",  6,  111,  982,  -17,  -3,  1,  -30,  20,  -37
1293806, 1184326046, "2007/7/13 11:27:26",  -86,  -6,  1050,  -19,  5,  0,  -29,  23,  -39
1294006, 1184326047, "2007/7/13 11:27:27",  -151,  -157,  1067,  -4,  -13,  -3,  -29,  25,  -38
1294206, 1184326047, "2007/7/13 11:27:27",  -104,  -190,  965,  18,  -11,  -5,  -30,  24,  -37
1294406, 1184326047, "2007/7/13 11:27:27",  15,  -41,  875,  28,  -17,  -3,  -33,  21,  -34
1294606, 1184326047, "2007/7/13 11:27:27",  166,  183,  953,  23,  1,  4,  -34,  15,  -33
1294806, 1184326047, "2007/7/13 11:27:27",  168,  280,  1039,  7,  11,  22,  -33,  15,  -34
1295006, 1184326048, "2007/7/13 11:27:28",  115,  226,  958,  -16,  42,  38,  -30,  18,  -36
1295206, 1184326048, "2007/7/13 11:27:28",  -139,  115,  1006,  -21,  13,  40,  -27,  26,  -39
1295406, 1184326048, "2007/7/13 11:27:28",  -315,  47,  1145,  -21,  24,  20,  -23,  31,  -41
1295606, 1184326048, "2007/7/13 11:27:28",  -327,  -32,  1060,  -20,  -38,  4,  -23,  34,  -38
1295806, 1184326048, "2007/7/13 11:27:28",  -47,  -134,  901,  3,  -14,  -3,  -26,  35,  -34
