millis,stamp,datetime,accX,accY,accZ,gyroX,gyroY,gyroZ,compX,compY,compZ
1110096, 1184498693, "2007/7/15 11:24:53",  125,  13,  927,  14,  0,  10,  -7,  44,  -39
1110296, 1184498693, "2007/7/15 11:24:53",  50,  93,  886,  4,  16,  22,  -6,  42,  -39
1110496, 1184498693, "2007/7/15 11:24:53",  51,  136,  1007,  7,  12,  30,  -3,  43,  -40
1110696, 1184498693, "2007/7/15 11:24:53",  -43,  142,  1148,  -3,  24,  28,  1,  42,  -41
1110896, 1184498693, "2007/7/15 11:24:53",  -81,  148,  1100,  -15,  8,  23,  6,  41,  -39
1111096, 1184498694, "2007/7/15 11:24:54",  -159,  123,  923,  -19,  -5,  8,  8,  44,  -39
1111296, 1184498694, "2007/7/15 11:24:54",  -71,  -61,  892,  -9,  2,  -4,  7,  45,  -38
1111496, 1184498694, "2007/7/15 11:24:54",  -94,  -95,  1064,  -9,  -23,  1,  7,  45,  -38
1111696, 1184498694, "2007/7/15 11:24:54",  44,  -91,  1096,  21,  -9,  2,  5,  44,  -38
1111896, 1184498694, "2007/7/15 11:24:54",  39,  61,  997,  11,  -10,  12,  3,  44,  -41
1112096, 1184498695, "2007/7/15 11:24:55",  145,  135,  940,  18,  11,  25,  4,  40,  -40
1112296, 1184498695, "2007/7/15 11:24:55",  42,  127,  961,  2,  5,  39,  6,  37,  -41
1112496, 1184498695, "2007/7/15 11:24:55",  93,  171,  946,  -4,  36,  42,  10,  36,  -41
1112696, 1184498695, "2007/7/15 11:24:55",  -84,  112,  937,  -9,  15,  51,  14,  34,  -37
1112896, 1184498695, "2007/7/15 11:24:55",  -178,  4,  1075,  -5,  2,  35,  18,  30,  -38
1113096, 1184498696, "2007/7/15 11:24:56",  -356,  15,  1059,  4,  -11,  12,  19,  27,  -38
1113296, 1184498696, "2007/7/15 11:24:56",  70,  135,  883,  -11,  -21,  -6,  15,  28,  -40
1113496, 1184498696, "2007/7/15 11:24:56",  -14,  104,  927,  3,  -26,  0,  13,  29,  -42
1113696, 1184498696, "2007/7/15 11:24:56",  271,  -32,  1126,  -25,  -4,  18,  10,  29,  -44
1113896, 1184498696, "2007/7/15 11:24:56",  83,  -63,  1067,  17,  10,  37,  11,  28,  -41
1114096, 1184498697, "2007/7/15 11:24:57",  155,  -55,  796,  -1,  32,  54,  14,  25,  -39
1114296, 1184498697, "2007/7/15 11:24:57",  -155,  181,  779,  27,  11,  64,  19,  17,  -37
1114496, 1184498697, "2007/7/15 11:24:57",  -127,  98,  1164,  7,  -6,  33,  14,  10,  -39
1114696, 1184498697, "2007/7/15 11:24:57",  -395,  375,  1113,  -23,  -13,  -13,  14,  10,  -39
1114896, 1184498697, "2007/7/15 11:24:57",  195,  22,  904,  1,  -34,  -31,  10,  14,  -42
1115096, 1184498698, "2007/7/15 11:24:58",  127,  41,  941,  -24,  19,  -10,  13,  15,  -40
1115296, 1184498698, "2007/7/15 11:24:58",  430,  -48,  1091,  -13,  -23,  48,  10,  16,  -42
1115496, 1184498698, "2007/7/15 11:24:58",  -146,  -127,  1080,  24,  41,  54,  12,  14,  -39
1115696, 1184498698, "2007/7/15 11:24:58",  -27,  -23,  949,  22,  17,  46,  11,  5,  -39
1115896, 1184498698, "2007/7/15 11:24:58",  -153,  207,  785,  36,  20,  35,  12,  0,  -34
1116096, 1184498699, "2007/7/15 11:24:59",  -62,  309,  917,  -17,  -32,  20,  9,  -4,  -34
1116296, 1184498699, "2007/7/15 11:24:59",  -177,  392,  1032,  -7,  4,  -30,  8,  -3,  -35
1116496, 1184498699, "2007/7/15 11:24:59",  29,  -21,  1044,  -32,  -41,  -38,  7,  3,  -39
1116696, 1184498699, "2007/7/15 11:24:59",  121,  -26,  1071,  -25,  8,  -22,  9,  8,  -42
1116896, 1184498699, "2007/7/15 11:24:59",  270,  -96,  968,  -4,  -10,  15,  8,  11,  -42
1117096, 1184498700, "2007/7/15 11:25:0",  -101,  -127,  931,  10,  12,  24,  9,  7,  -42
1117296, 1184498700, "2007/7/15 11:25:0",  -14,  -69,  992,  20,  12,  17,  7,  5,  -40
1117496, 1184498700, "2007/7/15 11:25:0",  -118,  120,  990,  27,  19,  11,  10,  2,  -37
1117696, 1184498700, "2007/7/15 11:25:0",  16,  180,  971,  3,  -24,  11,  7,  -3,  -37
1117896, 1184498700, "2007/7/15 11:25:0",  -141,  226,  953,  0,  1,  -13,  8,  -2,  -36
1118096, 1184498701, "2007/7/15 11:25:1",  77,  110,  954,  -16,  -13,  -18,  7,  1,  -39
1118296, 1184498701, "2007/7/15 11:25:1",  41,  86,  998,  -19,  7,  -5,  8,  2,  -39
1118496, 1184498701, "2007/7/15 11:25:1",  121,  -27,  1012,  -18,  -7,  12,  7,  4,  -40
1118696, 1184498701, "2007/7/15 11:25:1",  -61,  -69,  1022,  0,  28,  12,  10,  5,  -40
1118896, 1184498701, "2007/7/15 11:25:1",  -92,  -60,  1026,  1,  -13,  14,  9,  6,  -40
1119096, 1184498702, "2007/7/15 11:25:2",  -137,  28,  1014,  20,  6,  1,  7,  4,  -40
1119296, 1184498702, "2007/7/15 11:25:2",  1,  57,  959,  12,  -11,  -4,  8,  1,  -40
1119496, 1184498702, "2007/7/15 11:25:2",  12,  109,  955,  15,  -3,  -2,  7,  1,  -37
1119696, 1184498702, "2007/7/15 11:25:2",  6,  150,  1012,  -6,  -25,  2,  5,  -2,  -39
1119896, 1184498702, "2007/7/15 11:25:2",  14,  201,  1017,  -5,  17,  -10,  5,  1,  -39
1120096, 1184498703, "2007/7/15 11:25:3",  145,  84,  962,  -17,  6,  1,  7,  3,  -39
1120296, 1184498703, "2007/7/15 11:25:3",  -25,  13,  983,  -21,  5,  15,  9,  4,  -40
1120496, 1184498703, "2007/7/15 11:25:3",  -26,  -72,  1083,  -6,  22,  9,  9,  6,  -40
1120696, 1184498703, "2007/7/15 11:25:3",  -155,  -91,  1021,  7,  4,  4,  8,  3,  -39
1120896, 1184498703, "2007/7/15 11:25:3",  -71,  -105,  842,  24,  -4,  -2,  10,  2,  -39
1121096, 1184498704, "2007/7/15 11:25:4",  -154,  69,  870,  12,  -22,  -9,  9,  -1,  -39
1121296, 1184498704, "2007/7/15 11:25:4",  -58,  215,  1108,  21,  -13,  -31,  8,  -1,  -37
1121496, 1184498704, "2007/7/15 11:25:4",  -19,  271,  1149,  -9,  -31,  -39,  9,  0,  -39
1121696, 1184498704, "2007/7/15 11:25:4",  116,  168,  974,  -13,  -4,  -38,  7,  4,  -40
1121896, 1184498704, "2007/7/15 11:25:4",  101,  39,  912,  -17,  -12,  -20,  9,  7,  -41
1122096, 1184498705, "2007/7/15 11:25:5",  155,  -35,  1071,  -19,  15,  -2,  9,  11,  -42
1122296, 1184498705, "2007/7/15 11:25:5",  111,  -61,  1075,  1,  27,  14,  14,  11,  -40
1122496, 1184498705, "2007/7/15 11:25:5",  -41,  -36,  908,  10,  31,  24,  15,  9,  -38
1122696, 1184498705, "2007/7/15 11:25:5",  -154,  82,  870,  5,  -1,  18,  15,  7,  -37
1122896, 1184498705, "2007/7/15 11:25:5",  -252,  153,  965,  17,  14,  -16,  14,  6,  -36
1123096, 1184498706, "2007/7/15 11:25:6",  -272,  131,  976,  -11,  -52,  -41,  16,  9,  -36
1123296, 1184498706, "2007/7/15 11:25:6",  -53,  125,  940,  0,  -12,  -66,  13,  12,  -40
1123496, 1184498706, "2007/7/15 11:25:6",  96,  132,  1003,  7,  -54,  -49,  13,  17,  -41
1123696, 1184498706, "2007/7/15 11:25:6",  291,  104,  1064,  -7,  9,  -24,  8,  20,  -44
1123896, 1184498706, "2007/7/15 11:25:6",  221,  132,  977,  -10,  10,  20,  10,  19,  -42
1124096, 1184498707, "2007/7/15 11:25:7",  106,  -57,  948,  5,  27,  40,  11,  20,  -42
1124296, 1184498707, "2007/7/15 11:25:7",  -83,  59,  1033,  -5,  44,  41,  17,  15,  -39
1124496, 1184498707, "2007/7/15 11:25:7",  -173,  111,  1071,  21,  3,  30,  18,  10,  -37
1124696, 1184498707, "2007/7/15 11:25:7",  -235,  100,  950,  -5,  7,  3,  18,  9,  -35
1124896, 1184498707, "2007/7/15 11:25:7",  -120,  161,  771,  -1,  -24,  -18,  16,  10,  -37
1125096, 1184498708, "2007/7/15 11:25:8",  -99,  92,  893,  -13,  -19,  -34,  16,  13,  -39
1125296, 1184498708, "2007/7/15 11:25:8",  13,  125,  1115,  -12,  -32,  -37,  14,  16,  -40
1125496, 1184498708, "2007/7/15 11:25:8",  124,  -18,  1174,  0,  -10,  -26,  11,  21,  -42
1125696, 1184498708, "2007/7/15 11:25:8",  198,  -61,  975,  -2,  3,  -3,  10,  23,  -42
1125896, 1184498708, "2007/7/15 11:25:8",  123,  19,  780,  12,  24,  16,  12,  20,  -42
1126096, 1184498709, "2007/7/15 11:25:9",  -16,  13,  1027,  4,  6,  29,  14,  19,  -40
1126296, 1184498709, "2007/7/15 11:25:9",  -78,  176,  1244,  7,  31,  15,  15,  14,  -39
1126496, 1184498709, "2007/7/15 11:25:9",  -127,  190,  1083,  3,  0,  7,  17,  13,  -36
1126696, 1184498709, "2007/7/15 11:25:9",  -51,  86,  647,  -35,  8,  -1,  18,  14,  -38
1126896, 1184498709, "2007/7/15 11:25:9",  -172,  -4,  755,  16,  -36,  -15,  17,  17,  -39
1127096, 1184498710, "2007/7/15 11:25:10",  -124,  -195,  1049,  -31,  7,  -20,  14,  20,  -41
1127296, 1184498710, "2007/7/15 11:25:10",  109,  179,  1173,  17,  -36,  -8,  13,  17,  -42
