millis,stamp,datetime,accX,accY,accZ,gyroX,gyroY,gyroZ,compX,compY,compZ
1657236, 1184499240, "2007/7/15 11:34:0",  -40,  91,  1010,  -13,  -3,  27,  -3,  -6,  -37
1657436, 1184499240, "2007/7/15 11:34:0",  -59,  167,  1136,  -15,  22,  13,  -7,  -4,  -39
1657636, 1184499240, "2007/7/15 11:34:0",  -178,  86,  1000,  -19,  -14,  -2,  -4,  -3,  -38
1657836, 1184499241, "2007/7/15 11:34:1",  -9,  -133,  780,  -5,  4,  -11,  -4,  1,  -41
1658036, 1184499241, "2007/7/15 11:34:1",  -51,  -136,  830,  7,  -9,  -6,  -2,  0,  -41
1658236, 1184499241, "2007/7/15 11:34:1",  108,  -165,  1091,  20,  -12,  3,  -5,  -3,  -39
1658436, 1184499241, "2007/7/15 11:34:1",  -5,  217,  1222,  14,  2,  11,  -6,  -7,  -38
1658636, 1184499241, "2007/7/15 11:34:1",  61,  286,  1054,  15,  7,  10,  -8,  -7,  -38
1658836, 1184499242, "2007/7/15 11:34:2",  -115,  113,  767,  -11,  -2,  7,  -9,  -7,  -36
1659036, 1184499242, "2007/7/15 11:34:2",  56,  80,  838,  -15,  11,  -1,  -8,  -5,  -37
1659236, 1184499242, "2007/7/15 11:34:2",  -96,  -6,  1150,  -6,  4,  4,  -5,  -2,  -40
1659436, 1184499242, "2007/7/15 11:34:2",  42,  -122,  1246,  -3,  3,  10,  -7,  -3,  -40
1659636, 1184499242, "2007/7/15 11:34:2",  -185,  85,  1041,  1,  -16,  7,  -8,  -1,  -38
1659836, 1184499243, "2007/7/15 11:34:3",  105,  -21,  802,  19,  9,  -7,  -11,  -3,  -40
1660036, 1184499243, "2007/7/15 11:34:3",  -167,  89,  864,  11,  -15,  -1,  -8,  -7,  -36
1660236, 1184499243, "2007/7/15 11:34:3",  153,  9,  1108,  7,  -15,  -2,  -12,  -8,  -37
1660436, 1184499243, "2007/7/15 11:34:3",  -111,  301,  1157,  -13,  3,  -3,  -7,  -8,  -36
1660636, 1184499243, "2007/7/15 11:34:3",  275,  170,  939,  -13,  14,  5,  -11,  -4,  -38
1660836, 1184499244, "2007/7/15 11:34:4",  -67,  9,  708,  -19,  29,  17,  -7,  -3,  -39
1661036, 1184499244, "2007/7/15 11:34:4",  -37,  -118,  928,  -16,  -19,  24,  -8,  0,  -38
1661236, 1184499244, "2007/7/15 11:34:4",  -302,  -148,  1152,  20,  31,  9,  -8,  1,  -40
1661436, 1184499244, "2007/7/15 11:34:4",  -59,  29,  1088,  5,  -35,  1,  -11,  -3,  -39
1661636, 1184499244, "2007/7/15 11:34:4",  -95,  139,  875,  28,  -4,  -14,  -12,  -5,  -37
1661836, 1184499245, "2007/7/15 11:34:5",  58,  168,  870,  -11,  -39,  -9,  -13,  -6,  -36
1662036, 1184499245, "2007/7/15 11:34:5",  48,  210,  1100,  7,  14,  -11,  -13,  -8,  -37
1662236, 1184499245, "2007/7/15 11:34:5",  193,  52,  1202,  -26,  -14,  13,  -14,  -5,  -37
1662436, 1184499245, "2007/7/15 11:34:5",  60,  47,  1041,  -11,  41,  24,  -14,  -3,  -37
1662636, 1184499245, "2007/7/15 11:34:5",  -19,  -115,  838,  0,  0,  37,  -13,  0,  -40
1662836, 1184499246, "2007/7/15 11:34:6",  -153,  -17,  866,  12,  30,  27,  -14,  -3,  -42
1663036, 1184499246, "2007/7/15 11:34:6",  -238,  34,  1022,  15,  -26,  12,  -15,  -4,  -39
1663236, 1184499246, "2007/7/15 11:34:6",  -94,  182,  1061,  7,  7,  -13,  -16,  -3,  -37
1663436, 1184499246, "2007/7/15 11:34:6",  16,  183,  976,  -3,  -52,  -10,  -18,  -4,  -37
1663636, 1184499246, "2007/7/15 11:34:6",  102,  106,  908,  -11,  9,  -12,  -20,  -3,  -35
1663836, 1184499247, "2007/7/15 11:34:7",  124,  55,  944,  -16,  -13,  13,  -20,  -3,  -37
1664036, 1184499247, "2007/7/15 11:34:7",  156,  -88,  1015,  -4,  25,  29,  -21,  -1,  -36
1664236, 1184499247, "2007/7/15 11:34:7",  -15,  -81,  1046,  2,  19,  40,  -20,  2,  -39
1664436, 1184499247, "2007/7/15 11:34:7",  -111,  18,  1009,  24,  16,  35,  -20,  2,  -38
