millis,stamp,datetime,accX,accY,accZ,gyroX,gyroY,gyroZ,compX,compY,compZ
1292484, 1184498875, "2007/7/15 11:27:55",  -71,  483,  1239,  -31,  -86,  -44,  -3,  40,  -40
1292684, 1184498875, "2007/7/15 11:27:55",  -163,  -273,  738,  -54,  10,  -61,  -7,  49,  -36
1292884, 1184498875, "2007/7/15 11:27:55",  313,  88,  796,  -17,  -46,  -20,  -15,  45,  -36
1293084, 1184498876, "2007/7/15 11:27:56",  544,  -515,  1073,  17,  7,  13,  -19,  51,  -30
1293284, 1184498876, "2007/7/15 11:27:56",  317,  -2,  938,  12,  82,  40,  -10,  45,  -38
1293484, 1184498876, "2007/7/15 11:27:56",  -50,  -80,  752,  52,  -23,  77,  -1,  47,  -38
1293684, 1184498876, "2007/7/15 11:27:56",  -99,  466,  1153,  34,  84,  25,  5,  35,  -41
1293884, 1184498876, "2007/7/15 11:27:56",  -381,  734,  1107,  -27,  -56,  -6,  10,  34,  -41
1294084, 1184498877, "2007/7/15 11:27:57",  -27,  -47,  759,  -39,  2,  -74,  2,  44,  -40
1294284, 1184498877, "2007/7/15 11:27:57",  -111,  98,  876,  -18,  -14,  -68,  -2,  44,  -38
1294484, 1184498877, "2007/7/15 11:27:57",  395,  -250,  1076,  5,  -69,  -31,  -14,  48,  -33
1294684, 1184498877, "2007/7/15 11:27:57",  134,  84,  1068,  -2,  72,  -14,  -14,  43,  -38
1294884, 1184498877, "2007/7/15 11:27:57",  184,  31,  771,  39,  -21,  38,  -11,  44,  -38
1295084, 1184498878, "2007/7/15 11:27:58",  -125,  137,  846,  -2,  42,  26,  -8,  42,  -39
1295284, 1184498878, "2007/7/15 11:27:58",  -241,  383,  1043,  9,  -1,  -4,  -3,  41,  -40
1295484, 1184498878, "2007/7/15 11:27:58",  -115,  -2,  1052,  -12,  0,  -30,  -4,  44,  -40
1295684, 1184498878, "2007/7/15 11:27:58",  -44,  13,  955,  -16,  -23,  -26,  -8,  42,  -39
1295884, 1184498878, "2007/7/15 11:27:58",  101,  -93,  912,  0,  -17,  -16,  -12,  46,  -37
1296084, 1184498879, "2007/7/15 11:27:59",  22,  96,  962,  2,  -4,  -2,  -14,  42,  -38
1296284, 1184498879, "2007/7/15 11:27:59",  93,  29,  1054,  9,  1,  12,  -14,  44,  -38
1296484, 1184498879, "2007/7/15 11:27:59",  -111,  129,  1078,  -4,  -1,  15,  -13,  43,  -38
1296684, 1184498879, "2007/7/15 11:27:59",  35,  157,  1012,  0,  14,  7,  -12,  44,  -38
1296884, 1184498879, "2007/7/15 11:27:59",  -138,  73,  968,  -12,  -8,  10,  -9,  46,  -38
1297084, 1184498880, "2007/7/15 11:28:0",  202,  -76,  1035,  1,  25,  9,  -9,  47,  -37
1297284, 1184498880, "2007/7/15 11:28:0",  -58,  -117,  1032,  13,  1,  27,  -5,  47,  -37
1297484, 1184498880, "2007/7/15 11:28:0",  174,  15,  940,  8,  22,  36,  -2,  45,  -39
1297684, 1184498880, "2007/7/15 11:28:0",  -192,  293,  1065,  15,  -3,  35,  4,  41,  -40
1297884, 1184498880, "2007/7/15 11:28:0",  -85,  243,  1208,  -1,  8,  5,  3,  40,  -42
1298084, 1184498881, "2007/7/15 11:28:1",  -220,  318,  973,  -50,  -31,  -22,  1,  45,  -38
1298284, 1184498881, "2007/7/15 11:28:1",  72,  -128,  810,  -7,  3,  -38,  -2,  48,  -38
1298484, 1184498881, "2007/7/15 11:28:1",  23,  -110,  937,  -33,  -31,  -21,  -7,  50,  -36
1298684, 1184498881, "2007/7/15 11:28:1",  334,  -184,  1016,  22,  11,  1,  -11,  50,  -35
1298884, 1184498881, "2007/7/15 11:28:1",  96,  -138,  899,  26,  38,  24,  -4,  48,  -39
1299084, 1184498882, "2007/7/15 11:28:2",  -27,  -12,  863,  25,  -16,  37,  -3,  45,  -40
1299284, 1184498882, "2007/7/15 11:28:2",  -246,  306,  1093,  39,  37,  1,  2,  37,  -42
1299484, 1184498882, "2007/7/15 11:28:2",  -245,  445,  1069,  -20,  -48,  -32,  1,  38,  -41
1299684, 1184498882, "2007/7/15 11:28:2",  -102,  136,  796,  -19,  -20,  -80,  -6,  42,  -41
1299884, 1184498882, "2007/7/15 11:28:2",  65,  123,  890,  -17,  -26,  -69,  -13,  42,  -38
1300084, 1184498883, "2007/7/15 11:28:3",  441,  -2,  1191,  -2,  -25,  -22,  -23,  41,  -36
1300284, 1184498883, "2007/7/15 11:28:3",  302,  20,  1046,  -19,  55,  19,  -20,  41,  -36
1300484, 1184498883, "2007/7/15 11:28:3",  12,  34,  744,  2,  10,  57,  -13,  43,  -37
1300684, 1184498883, "2007/7/15 11:28:3",  -129,  8,  1071,  26,  39,  35,  -6,  44,  -39
1300884, 1184498883, "2007/7/15 11:28:3",  -417,  300,  1261,  -9,  -6,  2,  0,  43,  -40
1301084, 1184498884, "2007/7/15 11:28:4",  -113,  292,  1022,  -16,  -22,  -37,  -7,  44,  -39
1301284, 1184498884, "2007/7/15 11:28:4",  -137,  22,  676,  -16,  -43,  -47,  -11,  47,  -37
1301484, 1184498884, "2007/7/15 11:28:4",  300,  -45,  899,  -8,  13,  -36,  -20,  46,  -35
1301684, 1184498884, "2007/7/15 11:28:4",  156,  -44,  1062,  -2,  -47,  12,  -22,  44,  -36
1301884, 1184498884, "2007/7/15 11:28:4",  178,  -110,  961,  13,  47,  18,  -21,  46,  -34
1302084, 1184498885, "2007/7/15 11:28:5",  -75,  61,  826,  20,  17,  28,  -14,  42,  -39
1302284, 1184498885, "2007/7/15 11:28:5",  10,  0,  996,  19,  12,  27,  -12,  44,  -38
1302484, 1184498885, "2007/7/15 11:28:5",  -229,  288,  1168,  1,  8,  12,  -6,  40,  -41
1302684, 1184498885, "2007/7/15 11:28:5",  -86,  196,  1097,  4,  -18,  -11,  -9,  42,  -39
1302884, 1184498885, "2007/7/15 11:28:5",  -35,  48,  884,  -14,  -5,  -24,  -10,  42,  -40
1303084, 1184498886, "2007/7/15 11:28:6",  97,  57,  993,  -12,  -4,  -8,  -10,  43,  -39
1303284, 1184498886, "2007/7/15 11:28:6",  96,  0,  1096,  -9,  -8,  14,  -12,  45,  -37
1303484, 1184498886, "2007/7/15 11:28:6",  -40,  13,  1052,  -5,  18,  13,  -9,  46,  -37
1303684, 1184498886, "2007/7/15 11:28:6",  -71,  39,  945,  2,  3,  13,  -10,  45,  -39
1303884, 1184498886, "2007/7/15 11:28:6",  -52,  -27,  977,  6,  2,  7,  -7,  48,  -37
1304084, 1184498887, "2007/7/15 11:28:7",  -20,  21,  1080,  12,  13,  7,  -5,  45,  -39
1304284, 1184498887, "2007/7/15 11:28:7",  -16,  84,  1052,  10,  -15,  15,  -6,  43,  -39
1304484, 1184498887, "2007/7/15 11:28:7",  -105,  273,  926,  -16,  -11,  -3,  -4,  43,  -40
1304684, 1184498887, "2007/7/15 11:28:7",  84,  151,  931,  11,  29,  -18,  -6,  45,  -38
1304884, 1184498887, "2007/7/15 11:28:7",  -58,  -7,  1042,  -33,  -33,  3,  -5,  45,  -38
1305084, 1184498888, "2007/7/15 11:28:8",  -58,  44,  1022,  -7,  11,  -10,  -7,  46,  -37
1305284, 1184498888, "2007/7/15 11:28:8",  -106,  -56,  871,  -3,  -23,  -19,  -8,  50,  -34
1305484, 1184498888, "2007/7/15 11:28:8",  39,  -42,  862,  8,  6,  -19,  -11,  48,  -34
1305684, 1184498888, "2007/7/15 11:28:8",  54,  -54,  908,  17,  -21,  -5,  -14,  45,  -36
1305884, 1184498888, "2007/7/15 11:28:8",  146,  25,  949,  16,  21,  3,  -16,  42,  -38
1306084, 1184498889, "2007/7/15 11:28:9",  38,  189,  1027,  10,  6,  21,  -12,  41,  -39
