millis,stamp,datetime,accX,accY,accZ,gyroX,gyroY,gyroZ,compX,compY,compZ
1474859, 1184499058, "2007/7/15 11:30:58",  -118,  174,  1008,  -27,  7,  29,  -14,  36,  -40
1475059, 1184499058, "2007/7/15 11:30:58",  -179,  83,  819,  -11,  -6,  14,  -13,  39,  -40
1475259, 1184499058, "2007/7/15 11:30:58",  -98,  -139,  987,  -24,  -10,  5,  -15,  42,  -37
1475459, 1184499058, "2007/7/15 11:30:58",  -78,  -33,  1236,  -2,  -19,  7,  -17,  42,  -36
1475659, 1184499058, "2007/7/15 11:30:58",  105,  -46,  1186,  23,  -17,  14,  -19,  45,  -35
1475859, 1184499059, "2007/7/15 11:30:59",  44,  59,  946,  8,  0,  25,  -17,  42,  -36
1476059, 1184499059, "2007/7/15 11:30:59",  111,  114,  820,  14,  -5,  38,  -17,  43,  -39
1476259, 1184499059, "2007/7/15 11:30:59",  67,  104,  1001,  5,  27,  46,  -11,  43,  -40
1476459, 1184499059, "2007/7/15 11:30:59",  117,  168,  1109,  -12,  16,  60,  -5,  43,  -39
1476659, 1184499059, "2007/7/15 11:30:59",  -93,  108,  1034,  8,  30,  60,  4,  41,  -40
1476859, 1184499060, "2007/7/15 11:31:0",  -206,  7,  939,  -10,  -4,  47,  10,  42,  -38
1477059, 1184499060, "2007/7/15 11:31:0",  -168,  131,  913,  0,  5,  19,  9,  41,  -39
1477259, 1184499060, "2007/7/15 11:31:0",  -107,  6,  922,  -2,  -13,  10,  10,  41,  -39
1477459, 1184499060, "2007/7/15 11:31:0",  30,  66,  973,  -17,  -22,  14,  10,  39,  -40
1477659, 1184499060, "2007/7/15 11:31:0",  25,  5,  1014,  9,  -15,  14,  7,  39,  -41
1477859, 1184499061, "2007/7/15 11:31:1",  102,  -36,  1046,  -4,  4,  23,  9,  38,  -40
1478059, 1184499061, "2007/7/15 11:31:1",  166,  137,  1000,  -2,  17,  45,  10,  37,  -41
1478259, 1184499061, "2007/7/15 11:31:1",  -22,  46,  957,  7,  7,  61,  13,  33,  -39
1478459, 1184499061, "2007/7/15 11:31:1",  -80,  65,  1072,  -2,  21,  50,  15,  27,  -41
1478659, 1184499061, "2007/7/15 11:31:1",  -179,  79,  1136,  14,  3,  35,  19,  23,  -38
1478859, 1184499062, "2007/7/15 11:31:2",  -19,  17,  1037,  5,  -2,  27,  17,  21,  -37
1479059, 1184499062, "2007/7/15 11:31:2",  -41,  178,  904,  -13,  -9,  28,  16,  17,  -37
1479259, 1184499062, "2007/7/15 11:31:2",  -3,  62,  921,  6,  -14,  23,  14,  15,  -40
1479459, 1184499062, "2007/7/15 11:31:2",  -66,  8,  1000,  -19,  -2,  17,  14,  15,  -39
1479659, 1184499062, "2007/7/15 11:31:2",  81,  24,  1019,  1,  -4,  20,  11,  14,  -41
1479859, 1184499063, "2007/7/15 11:31:3",  58,  -34,  997,  3,  9,  30,  10,  12,  -40
1480059, 1184499063, "2007/7/15 11:31:3",  102,  55,  1016,  -4,  12,  44,  10,  8,  -40
1480259, 1184499063, "2007/7/15 11:31:3",  -30,  98,  1038,  15,  13,  46,  10,  5,  -39
1480459, 1184499063, "2007/7/15 11:31:3",  -32,  56,  979,  4,  18,  39,  10,  2,  -38
1480659, 1184499063, "2007/7/15 11:31:3",  -144,  165,  891,  0,  4,  32,  8,  -2,  -37
1480859, 1184499064, "2007/7/15 11:31:4",  -144,  103,  975,  -6,  -26,  12,  6,  -4,  -38
1481059, 1184499064, "2007/7/15 11:31:4",  -174,  132,  1045,  -17,  -2,  -14,  5,  -2,  -39
1481259, 1184499064, "2007/7/15 11:31:4",  131,  31,  1047,  -8,  -31,  -7,  3,  -1,  -38
1481459, 1184499064, "2007/7/15 11:31:4",  185,  -79,  979,  -2,  13,  12,  1,  4,  -40
1481659, 1184499064, "2007/7/15 11:31:4",  158,  -62,  844,  2,  6,  39,  1,  0,  -40
1481859, 1184499065, "2007/7/15 11:31:5",  6,  -54,  936,  17,  13,  49,  0,  -2,  -39
1482059, 1184499065, "2007/7/15 11:31:5",  -78,  156,  1141,  16,  22,  39,  -4,  -5,  -37
1482259, 1184499065, "2007/7/15 11:31:5",  -111,  227,  1117,  8,  -5,  25,  -7,  -6,  -36
1482459, 1184499065, "2007/7/15 11:31:5",  -152,  138,  892,  -7,  -12,  7,  -7,  -6,  -37
1482659, 1184499065, "2007/7/15 11:31:5",  -16,  126,  891,  -23,  -16,  -8,  -10,  -5,  -37
1482859, 1184499066, "2007/7/15 11:31:6",  11,  62,  1095,  -9,  -3,  -8,  -8,  -2,  -39
1483059, 1184499066, "2007/7/15 11:31:6",  223,  -154,  1113,  -9,  -5,  12,  -12,  -1,  -40
1483259, 1184499066, "2007/7/15 11:31:6",  25,  -63,  875,  9,  23,  24,  -10,  -1,  -37
1483459, 1184499066, "2007/7/15 11:31:6",  -21,  -9,  764,  9,  -2,  28,  -12,  -2,  -39
1483659, 1184499066, "2007/7/15 11:31:6",  -81,  135,  980,  22,  26,  12,  -11,  -4,  -37
1483859, 1184499067, "2007/7/15 11:31:7",  -136,  113,  1101,  7,  -12,  5,  -12,  -7,  -37
1484059, 1184499067, "2007/7/15 11:31:7",  -39,  170,  1032,  -3,  5,  -10,  -12,  -7,  -35
1484259, 1184499067, "2007/7/15 11:31:7",  -41,  202,  966,  -17,  -17,  -15,  -11,  -6,  -37
1484459, 1184499067, "2007/7/15 11:31:7",  31,  117,  1018,  -20,  -1,  -18,  -12,  -5,  -38
